вершина;порядковый_номер_пути;дата_откр_счета;дата_реорганизации;показывать_UI;дата_нач_диапазона;дата_конец_диапазона;
ОАО НОВОСИБИРСКИЙ МУНИЦИПАЛЬНЫЙ БАНК ИНН: 6608007709 ИД: 17704 Рег.: 2786;1;05.11.2013;05.11.2014;NA;NA;NA;
ПАО ХАНТЫ-МАНСИЙСКИЙ БАНК ОТКРЫТИЕ ИНН: 8601000666 ИД: 16846 Рег.: 1971;2;01.01.2019;01.01.2020;1;28.07.2003;20.09.2013;
ОАО КОММЕРЧЕСКИЙ ВОСТОЧНО-ЕВРОПЕЙСКИЙ СИБИРСКИЙ БАНК / КОМВЕСБАНК ИНН: - / 8603034910 ИД: 18358 Рег.: 2314;3;28.07.2002;28.07.2003;NA;21.12.1999;20.09.2013;
ОАО ИНВЕСТИЦИОННЫЙ БАНК ОТКРЫТИЕ ИНН: 7744000140 ИД: 19404 Рег.: 2901;4;27.09.2009;27.09.2010;NA;27.08.2010;20.09.2013;
ОАО БАНК ОТКРЫТИЕ ИНН: 7744003399 ИД: 16957 Рег.: 2179;5;05.11.2013;05.11.2014;1;10.01.2011;20.09.2013;
ОАО СВЕРДЛОВСКИЙ ГУБЕРНСКИЙ БАНК ИНН: 6608007709 ИД: 19070 Рег.: 2975;6;18.07.2010;18.07.2011;NA;14.11.2007;20.09.2013;
ОАО БАНК ПЕТРОВСКИЙ ИНН: 7831000179 ИД: 19162 Рег.: 729;7;27.09.2009;27.09.2010;NA;05.06.2007;20.09.2013;
